,Junc 10,Junc 11,Junc 12,Junc 13,Junc 21,Junc 22,Junc 23,Junc 31,Junc 32
0,111.07,110.9,115.38,116.56,113.7,115.94,118.04,112.15,107.41
1,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
2,119.99,110.67,108.43,109.34,107.6,109.12,111.03,104.55,99.24
3,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
4,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
5,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
6,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
7,123.39,114.53,112.71,113.59,111.73,113.33,115.26,108.7,103.42
8,127.51,119.22,116.99,118.63,117.63,118.72,120.7,115.83,110.75
9,125.11,116.5,116.47,115.76,107.81,112.1,114.28,59.27,70.24
10,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
11,121.51,112.4,112.37,109.03,101.75,99.31,101.8,98.48,91.9
12,125.02,116.39,116.92,112.85,104.14,99.98,102.84,100.99,93.43
13,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
14,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
15,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
16,122.25,113.24,111.28,112.17,110.35,111.92,113.84,107.31,102.02
17,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
18,53.02,47.22,48.08,48.77,46.19,48.22,50.2,43.25,38.09
19,120.82,111.62,115.89,117.09,114.29,116.51,118.61,112.74,108.0
20,122.11,113.08,113.45,109.37,101.0,97.83,100.45,97.54,90.63
21,47.18,41.38,42.25,42.94,40.35,42.38,44.36,37.41,32.25
22,111.0,109.03,112.89,113.29,110.04,112.27,114.31,107.15,102.04
23,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
24,120.03,110.72,109.48,83.28,104.79,105.28,102.73,101.5,95.9
25,116.09,106.25,110.7,111.04,107.62,109.92,111.96,104.74,99.65
26,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
27,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
28,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
29,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
30,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
31,126.21,117.74,117.06,116.85,112.01,114.2,116.37,94.2,47.12
32,123.62,114.8,115.97,115.11,98.33,110.33,112.6,98.11,95.07
33,124.57,115.88,115.77,114.55,108.19,110.56,112.73,83.87,20.67
34,110.14,110.13,115.02,116.15,113.15,115.46,117.58,111.62,106.9
35,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
36,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
37,122.45,113.47,113.78,112.28,102.96,107.75,109.92,47.99,60.09
38,117.62,107.98,112.38,113.17,110.08,112.33,114.41,107.91,103.0
39,125.78,117.26,116.79,116.22,110.58,112.85,115.02,88.21,26.36
40,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
41,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
42,127.46,119.17,116.92,118.57,117.57,118.66,120.64,115.77,110.69
43,126.86,118.49,116.96,91.04,114.8,114.97,112.76,112.78,107.38
44,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
45,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
46,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
47,125.59,117.04,116.81,116.33,109.39,113.15,115.32,68.34,76.1
48,125.34,116.75,116.99,116.85,106.08,113.7,115.89,105.5,101.44
49,126.15,117.67,116.84,116.76,111.52,113.75,115.93,89.42,23.42
50,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
51,124.51,115.81,113.65,114.96,113.57,114.92,116.87,111.2,106.05
52,117.02,107.3,112.7,113.39,109.94,112.37,114.47,107.81,102.95
53,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
54,121.45,112.34,112.82,111.03,100.42,105.9,108.09,35.9,52.1
55,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
56,125.43,116.85,116.1,112.82,110.97,110.81,105.73,108.26,102.61
57,121.66,112.57,114.43,112.55,91.69,106.33,108.61,91.31,88.44
58,121.12,111.95,109.85,110.75,108.97,110.52,112.43,105.93,100.63
59,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
60,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
61,125.15,116.54,116.47,115.99,107.05,112.09,114.31,46.77,64.69
62,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
63,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
64,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
65,123.95,115.17,115.2,114.15,106.6,110.47,112.64,64.78,71.43
66,123.86,115.07,112.82,114.14,112.78,114.1,116.05,110.4,105.24
67,122.23,113.22,113.18,110.4,104.03,103.14,105.4,100.43,94.35
68,125.93,117.42,116.91,116.43,110.99,113.24,115.41,89.78,31.72
69,124.82,116.16,115.33,112.06,110.25,110.09,105.04,107.54,101.88
70,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
71,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
72,112.07,110.19,114.1,114.5,111.24,113.47,115.51,108.34,103.23
73,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
74,122.77,113.83,113.77,105.9,104.02,101.99,87.8,100.85,94.46
75,124.4,115.69,115.38,113.3,107.74,106.63,108.93,104.8,98.79
76,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
77,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
78,121.08,111.92,112.47,110.57,99.47,105.21,107.41,31.26,49.07
79,125.58,117.03,116.63,115.94,110.0,112.31,114.49,86.0,18.77
80,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
81,121.49,112.38,112.22,105.93,103.28,102.42,93.02,99.68,93.62
82,114.96,113.31,116.98,118.25,115.6,117.77,119.86,114.04,109.29
83,123.91,115.12,113.89,83.1,110.08,110.29,107.28,107.45,101.93
84,113.83,112.85,116.98,118.19,115.43,117.64,119.73,113.88,109.13
85,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
86,65.62,49.1,42.14,40.02,36.62,34.19,36.4,32.65,25.99
87,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
88,120.22,110.94,110.61,104.41,101.82,100.96,91.69,98.22,92.16
89,122.99,114.08,111.73,113.05,111.72,113.02,114.96,109.34,104.17
90,125.92,117.41,116.96,110.94,109.8,108.05,96.08,107.3,101.08
91,123.51,114.68,114.47,112.35,106.84,106.54,108.75,103.38,97.51
92,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
93,121.26,112.11,109.54,110.87,109.61,110.86,112.8,107.22,102.03
94,124.75,116.08,115.94,114.79,108.59,110.94,113.1,85.13,24.68
95,114.6,104.55,109.36,109.66,106.13,108.48,110.53,103.26,98.18
96,127.48,119.19,116.94,118.59,117.59,118.68,120.66,115.79,110.72
97,121.89,112.83,111.42,76.83,107.42,107.47,103.94,104.75,99.18
98,111.93,111.41,115.74,116.93,114.12,116.34,118.44,112.57,107.83
99,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
100,116.39,113.95,116.99,118.32,115.79,117.94,120.02,114.23,109.47
101,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
102,127.03,118.68,116.98,100.29,115.55,115.97,115.01,113.59,108.29
103,122.19,113.17,113.26,104.27,102.4,99.9,83.36,99.12,92.51
104,124.06,115.29,115.07,106.85,105.81,103.1,86.36,103.06,96.34
105,116.43,106.63,111.35,112.11,108.91,111.22,113.3,106.75,101.86
106,121.66,112.57,114.43,112.55,91.69,106.33,108.61,91.31,88.44
107,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
108,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
109,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
110,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
111,121.99,112.95,113.72,112.38,99.98,108.16,110.33,98.3,93.98
112,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
113,125.75,117.22,116.22,112.54,111.46,110.63,103.5,109.2,103.39
114,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
115,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
116,123.47,114.63,113.42,78.25,109.28,109.37,105.76,106.62,101.06
117,125.56,117.0,116.99,116.49,107.51,112.58,114.8,47.0,65.03
118,125.21,116.6,116.05,114.62,109.93,109.4,111.64,107.12,101.34
119,119.87,110.54,109.47,74.49,103.98,104.22,100.47,100.64,94.95
120,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
121,125.83,117.31,116.97,114.92,109.26,107.28,109.73,106.71,100.37
122,121.9,112.85,113.25,111.59,101.57,106.74,108.92,41.42,55.73
123,123.76,114.96,115.48,114.76,103.17,111.09,113.26,102.11,97.89
124,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
125,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
126,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
127,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
128,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
129,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
130,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
131,124.43,115.72,115.48,114.43,108.46,110.78,112.94,86.21,29.57
132,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
133,120.54,111.3,111.47,107.47,99.26,96.11,98.72,95.81,88.9
134,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
135,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
136,125.71,117.17,116.99,116.65,108.46,113.09,115.3,53.92,69.2
137,121.78,112.71,116.23,117.12,114.26,116.43,118.49,112.07,107.14
138,126.46,118.03,117.03,117.22,112.58,114.76,116.93,94.13,40.47
139,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
140,125.63,117.09,116.53,116.06,110.64,112.89,115.06,89.48,31.6
141,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
142,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
143,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
144,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
145,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
146,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
147,126.29,117.84,115.9,117.2,115.75,117.14,119.09,113.39,108.25
148,123.53,114.7,114.27,112.22,106.73,105.61,107.91,103.79,97.77
149,124.45,115.74,115.34,108.24,107.18,104.94,90.66,104.56,98.09
150,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
151,126.04,117.55,116.9,116.99,110.74,114.32,116.49,70.89,79.56
152,121.47,112.35,111.3,84.69,106.49,107.0,104.41,103.21,97.61
153,120.64,111.41,110.35,79.49,105.19,105.56,102.38,101.88,96.23
154,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
155,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
156,120.71,111.5,115.54,116.37,113.38,115.59,117.66,111.2,106.28
157,123.32,114.46,113.43,95.42,109.38,110.2,108.83,106.17,100.66
158,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
159,106.04,105.68,110.23,110.56,107.11,109.42,111.47,104.24,99.14
160,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
161,109.86,108.6,112.84,113.2,109.85,112.12,114.16,106.96,101.86
162,107.94,107.2,111.54,111.89,108.51,110.79,112.83,105.63,100.53
163,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
164,126.78,118.39,116.55,104.26,115.51,116.06,115.7,113.58,108.32
165,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
166,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
167,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
168,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
169,124.17,115.42,115.21,114.07,107.91,110.25,112.41,84.56,24.48
170,123.84,115.05,113.62,92.04,110.6,111.07,109.3,108.03,102.6
171,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
172,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
173,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
174,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
175,126.78,118.39,116.06,117.71,116.73,117.8,119.78,114.92,109.84
176,125.3,116.71,115.91,111.11,110.02,108.73,99.29,107.64,101.63
177,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
178,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
179,123.96,115.19,115.0,113.8,107.48,109.84,112.01,83.28,20.5
180,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
181,126.14,117.66,115.94,94.88,114.2,114.48,112.92,112.21,106.85
182,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
183,126.16,117.69,115.28,116.93,115.98,117.03,119.01,114.17,109.08
184,123.89,115.11,115.18,111.85,104.34,100.96,103.66,101.41,94.32
185,123.14,114.26,114.65,113.35,102.69,108.45,110.67,33.6,53.69
186,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
187,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
188,119.49,110.11,113.72,114.15,110.97,113.17,115.2,108.07,102.95
189,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
190,123.62,114.8,114.72,111.98,105.52,103.75,106.15,102.42,96.14
191,118.53,109.02,109.19,99.58,96.93,94.69,78.67,93.0,86.42
192,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
193,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
194,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
195,124.34,115.62,114.6,100.78,110.96,111.94,111.19,107.79,102.33
196,66.6,50.21,41.4,42.63,42.91,42.84,44.65,39.5,33.71
197,57.42,39.83,40.7,41.39,38.8,40.84,42.81,35.87,30.7
198,123.39,114.54,115.59,114.46,99.84,109.94,112.14,99.07,95.16
199,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
200,126.11,117.63,116.98,115.57,110.84,109.51,111.85,108.46,102.42
201,118.9,109.44,110.9,108.76,90.61,102.9,105.11,89.52,85.69
202,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
203,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
204,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
205,116.15,106.31,108.36,105.49,81.47,98.03,100.31,80.8,77.86
206,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
207,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
208,118.91,109.45,111.38,108.83,87.42,102.08,104.32,86.59,83.21
209,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
210,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
211,124.88,116.24,114.93,93.13,111.84,112.33,110.54,109.28,103.85
212,126.57,118.16,116.99,114.39,113.3,112.91,107.94,111.15,105.53
213,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
214,119.61,110.24,110.6,105.94,96.78,92.91,95.65,93.14,85.88
215,122.29,113.29,116.61,117.91,115.33,117.49,119.57,113.77,109.01
216,130.28,122.37,121.4,122.23,120.13,121.88,123.82,117.13,111.89
217,110.78,110.2,114.54,115.34,112.26,114.52,116.59,110.1,105.19
218,124.94,116.3,115.83,113.81,108.24,106.25,108.7,105.68,99.34
219,124.58,115.89,115.25,113.83,109.19,108.66,110.89,106.39,100.6
220,69.34,53.3,46.71,44.71,41.34,39.16,41.36,37.43,30.87
221,125.89,117.38,116.99,116.85,109.56,113.7,115.89,61.91,74.06
222,121.76,112.68,116.97,118.17,115.37,117.59,119.69,113.82,109.07
223,125.42,116.85,115.51,98.14,112.8,113.43,112.26,110.27,104.89
224,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
225,122.36,113.37,112.32,90.03,107.88,108.55,106.56,104.64,99.09
226,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
227,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
228,67.7,51.44,46.65,45.3,32.8,41.05,43.22,31.14,26.82
229,113.09,112.63,116.96,118.16,115.34,117.57,119.67,113.8,109.05
230,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
231,123.57,114.75,112.95,113.83,111.96,113.57,115.49,108.93,103.65
232,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
233,126.7,118.3,116.94,81.69,114.09,114.01,110.59,112.01,106.52
234,109.35,108.69,113.02,113.83,110.75,113.0,115.07,108.58,103.67
235,113.8,112.07,115.88,116.74,113.8,116.0,118.07,111.62,106.7
236,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
237,128.59,120.45,118.35,119.99,118.94,120.07,122.05,117.15,112.09
238,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
239,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
240,127.54,119.26,117.02,118.67,117.66,118.76,120.74,115.86,110.79
241,126.35,117.9,116.98,113.28,112.16,111.34,104.16,109.9,104.1
242,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
243,125.54,116.98,114.49,116.14,115.22,116.25,118.22,113.4,108.31
244,116.19,113.73,116.76,118.08,115.57,117.71,119.79,114.0,109.24
245,122.6,113.64,113.36,108.22,105.59,105.19,97.96,102.1,96.2
246,124.72,116.05,113.92,115.23,113.84,115.18,117.13,111.47,106.31
247,129.96,122.01,120.53,121.8,120.21,121.71,123.67,117.88,112.76
248,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
249,71.42,55.65,47.43,48.64,48.73,48.82,50.64,45.36,39.62
250,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
251,108.5,107.14,111.34,111.71,108.37,110.63,112.67,105.48,100.38
252,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
253,123.8,115.01,114.84,113.58,107.14,109.52,111.69,82.28,17.35
254,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
255,126.11,117.63,116.99,117.08,110.82,114.41,116.58,70.95,79.63
256,129.25,121.2,119.63,120.91,119.35,120.82,122.78,117.01,111.89
257,124.53,115.83,114.15,115.02,113.12,114.75,116.67,110.09,104.82
